Complexity_level,text
L-E,we see a red rose because the primary colors go to the rose and green and blue get absorbed and red bounces off
L-E,we see a yellow rose because all the secondary colors go at the rose the magenta and cyan gets absorbed but yellow bounces off
L-E,a shadow is the darkness left behind when a light sours shines on a nontransparent object
L-E,a solar eclipse is when the moon blocks the sun light from coming to the earth
L-E,a lunar clips is when the sun blocks the moons light from going to earth
L-E,you can make a rainbow with a prism by outing light thought a prism of rain rain is what make the rainbow in the sky
L-E,solar panels are panels that use light to make electricity
L-E,all we see is light without light we can not see
L-E,to make a rainbow you need raindrops on plants then the sun shines on the plants then makes a rainbow
L-E,you can make a rainbow by holding up a prism to the sun the white light will go through the prism and make a rainbow
L-E,the northern lights are ribbons of red pink and ghostly green lights that dance and shimmer for hours across the sky they occur when the sun bombards earth with tiny particles of electricity to small for us to see
L-E,solar panels take in the suns rays a make energy with them
L-E,lasers are the best wielding equipment that i no of because it saved the navy millions laser is short for light amplification by stimulated emission of radiation
L-E,i think that light travels in a straight line because we did a lot of experiments and proved that it travels that way
L-E,light travels in a wave
L-E,the rainbow makes white light
L-E,when white light goes through a practicum it makes a rainbow
L-E,when white light goes through a rain drop it make a rainbow
L-E,when you see a red rose the red light bonus into our
L-E,when you see a yellow flower the yellow light bonus into our
L-E,when you see colored light or a rose so if you a red rose red light bonus into your eyes but blue green get absorb into the flower
L-E,my theory is that light travels in a wavy straight line
L-E,it is made when raindrops fall on something like a leaf and the sunshine shines through the leaf and the raindrop acts like a prism
L-E,when we see a yellow rose blue would absorb and green and red would bounce off into our eye which makes yellow
L-E,1 is it true that all we see is light my theory is that all you see is light bouncing off things in to our eyes
L-E,2 how do we see an object that is transparent translucent or opaque opaque light bounces off it into your eyes
L-E,transparent solid light bounces off it because it is a solid and you can see it very faintly
L-E,translucent more light bounces off then transparent but less light bounces off then opaque objects
L-E,reflecting and absorbing say if there was a red rose and red light hit it it would bounce off and blue light hit it it would absorb
L-E,if you want a natural rainbow when it rains the rain drops act like prisms and make a rainbow
L-E,how we see a red flower is it goad through your eye and it is upside down the solution to this problem is that your brain turns it around
L-E,how do out make a rainbow with a prism the white light goes in to the prism and it splits the light up into 7 different color s and those different colors are the colors of them rainbow
L-E,how you make a rainbow with rain rain acts likes prisms and do the same thing that prisms do
L-E,how you see a yellow rose red and green are reflected and all the other colors were absorbed
L-E,water refracting light is when light goes in the water after light is in air the light is bent by the water
L-E,an eclipse course when the earth or the moon blocks the suns light
L-E,a solar eclipse happens when the moon is between the sun and the earth and the moon blocks the suns light
L-E,a shadow is when light is shewn on a opaque object and the shadow is what is behind the opaque object
L-E,light travels in all directions i need to understand does light travel in a strait line or something else my theory's that light travels in wave lines but they appear straight
L-E,all we see is light
L-E,if you shine white light on a yellow flower the red and green is reflected and the blue is absorbed
L-E,we belove that a rain drop can make a rainbow 1 1382
L-EE,i need to understand what will happen to the north and south poles when there is too much carbon dioxide my theory i know that when there is too much carbon dioxide the whole world will heat up which will cause a greenhouse effect a better theory when there is too much carbon dioxide inside the earths mantle the carbon dioxide will push the lava up to earth and cause a volcano eruption new information first the humans breathe out carbon dioxide than the trees and water soak up the carbon dioxide than breathe out the trees and water are called carbon soakers because they take in more carbon than they breathe out i need to understand how much carbon dioxide we need to keep in order to keep the world balanced
L-EE,my theory adhityablack ants live in colonies and anthills black ants are mostly nice but not so aggressive like red ants and red and black ants mostly bite alot it causes a infection fire antsare omnivorous known toeatmeats greasy and sweet materials fire antsare omnnivores meaning they will feed on animal or vegetable sources offood thefireant worker's diet includes insects earthworms ticks spiders arthropod eggs honeydew and other sweets this picture here is a leaf cutter antthe ant is a very successful member of the insect group and has always been a topic of interest due to its complex colony a profile on the ant explains the complexity of the ant colony and why it is often referred the size and distribution of ant populations is presented along with information on the ant's senses and a detailed description of the ant's life cycle information on the ant's antennae is included as well as information on the ant's strength walking paths and social behavior image https kf6 rit albany edu attachments 5b87586745b8a02554df72de 5bdc50785182ad5cff2b5c0c 1 blob link https www mnn com earthmatters animals blogs crazyfactsleafcutterants ant wikipedia link https en wikipedia org wiki ant click on the ant wikipedia to learn some more
L-EE,new information ants affect nutrients in the soil by moving through it to build nests and move food this is good for the ecosystem what is more important is the population of ants when the population of ants decreases the population of other species increases because the ants are very aggressive my theory the nutrients that the ants bring to the soil helps plants to grow i need to understand how the nutrients get there from the ants and how does it help
L-EE,new information bryophytes are actually a seedless plants they do not need seed pollenaters or photosynthesis to grow moss liverworts and hornworts or all types of seedless plants usally they live in wet and dewy habitats this is how they grow a moss gives out seeds called spores that travel inair and lands onsome surface the seed that lands on a surface will soon grow into a moss
L-EE,new information that we found was that articles and videos might not be true which is why we need to do experiments in the experiment we found out that the tounge is not made up with separterate taste buds in separterate areas we found this out by taking qtips and dip it in 4 different subtunces sour lemon juice sugar salt and bitter coffee shown a diagram of different parts of the tounge and have to put the dipped in qtip on the part you have to log it on a paper if you can taste it or not in the end we shared our results and made a conclusion that the tounge is not made up of seperterate taste buds which means that not all article videos aren´t always true
L-EE,new information that i have found is the leaves are green beacause of chorophyll chorophyll is green it absorbs the sunlight and water the help to make sugar for the tree plants use chorophyll to make food also leaves have things inside them called pigments which are colored red yellow orange and also purple you can't see them because during the summer there is so much chorophyll it overrides it but during the fall there is less sunlight and the chorophyll slowly starts to fade and thats why the leaves change color
L-EE,all birds have feathers for different reasons like the penguins have feathers to keep warm chickens have feathers because they also need to keep warm they also need them to flutter up to places only a few feet above the ground turkeys need feathers also to flutter up to places and to keep warm and penguins have a thick layer of blubber under their feathers to keep warm in the extreme cold
L-EE,before the btb was blue because it had no carbon dioxide once we blew human air into it it turned green because human air has c02 when we put a plant into the btb it turned green because plants take in carbon dioxide and the plant took in the carbon dioxide and made it turn back to blue
L-EE,decompoition is in the naturle process by which large organic materials and molecules are broken down into simpler ones the ultimante products of decompoition are simple molecules such as carbon dioxid water decompoition is actually an extremly vital ecological process
L-EE,decomposers and sravengers that break down the dead plants and animals they also break down the waste scat of other organisms decomposers are very important to any ecosystem if they weren't in the ecosystem the plants would not get the essential nutrients and then the dead matter and waste would pile up source can't remember the title of the artical
L-EE,decomposers are the f b i the f stands for fungus b stands for bacteria and the i stands for insects decomposers are like little cleaners of nature they decompose until whatever they are decomposing into carbon dioxide oxygen &amp water
L-EE,first of all the cycle starts off as a seed then the seed gets carbon dioxide water sunlight to grow after it gets all of those things the seed turns into a small tree and grows out of the ground this is when the tree also starts to grow roots after this step the small tree turns into an apple tree this is when the tree grows apples after the tree starts getting weak it loses its apples when the apples fall to the ground and die the seeds are exposed they go back in the ground or the wind blows them away and moves them to some place else this is how the cycle keeps on going
L-EE,i know that ants are decomposers when they eat they leave a trail of left over bits of food that add nutrients to the soil i know that ants are aggressive i learned that the ant population can impact the population of other species in an area if the ant population goes down other species in that area will go up my theory if an ant population goes up other species'population will go down many ants work together to 'take out' other species a better theory without ants and other decomposers the soil would not get nutrients without the nutrients inthe soil the plants that grow there would not get what they need to grow strong with nutrients then the animals that eat the plants won't have the best nutrients they need humans who eat the animals that eat the plants won't get the nutrients they need to get bigger and stronger and survive in healthy ways ants are an interesting and important species i need to understand what are the nutrients in the soil that plants and animals and humans need
L-EE,i learned that at first i thought that moss did not have any roots but now i found out that moss actually moss has tiny small roots and that moss is eukaryotic meaning their cells have nucleus that also contain cell wall called cellulose there also autotrophic which means they make their own food they also carry a photosynthesis witch makes carbon carbon dioxide into sugar in order for moss to grow in other places there has to be other moss to send around spores if it lands somewhere with the right temperature than it can grow correctly seedless plants are separated into different groups vascular and nonvascular vascular have canals that carry water throughout their body nonvascular plants or bryophytes instead of collecting water from there roots they collect water though there thin cell walls they don’t grow more than a few centimeters tall thin rootlike rhizoids holds the plants down and also absorb water from the ground you will find bryophytes all around the world mostly in rain forests and ponds and streams mosses are the most common bryophytes clumped in layers on tree trunks the ground or even rocks moss and liverworts were the first plants to live harsh places
L-EE,i used to think that not alot of insects can live in moss because moss insects are pretty big like a big ant but there’s a insect called a tardigrade a tardigrade is a insect that lives in or around moss so if a tardigrade can live in moss that mean other insects can live or can they because a tardigrade is microscopic so there’s a lot of space for the tardigrade now i think that moss can’t really provide a home or insects because a ant lives underground so if ants lives on moss when it rain the rain will wash the ants away
L-EE,i used to think that the air moves by itself now i know that the sun makes the air move and that the sun has to be in a certain area to push the wind it's the low pressure system as the warm air rises it cools of and eventually sinks back down the system is like a big engine taking in air all around it that gets you a lot of moving air
L-EE,i ve learned that all living things are linked together by what they eat for example say if there were no more shrimp the amount animals that eat the shrimp will start to decrease and it would just keep on decreasing also did you know that the food web can contain lost and lots of animals in it the food web has three main elements producers consumers and decomposers producers are plants they make their own food out of the sun also known as photosynthasis the producers are mostly at the bottom of the food chain consumers can't make their own food so they eat the producers primary consumers are herbavors secondary consumers are carnivors and some consumers are omnivors also there are parasite cosumers decomposers are mostly bacteria they help to brake down dead animals or dead plants or any of those dead things
L-EE,leaves have unique structures called veins that transport liquids and nutrients to leaf cells veins also carry the products of photosynthesis back to the rest of the tree a tree leaf has several types of veins the central one is called the midrib or midvein other veins connect to the midrib and have their own unique patterns tree leaf veins in dicots we also call these trees hardwoods or deciduous trees are all considered to be netveined or reticulateveined this means that the veins branch from the main rib and then subbranch into finer veins there are two classifications you need to
L-EE,"like i said already in ""more about moss"" mossmaygrowonly on a north side of a tree if that's the shadiest location as the sun tracks the sky ifthereissomethingelse providing shade or moisture themosswillgrowin those places just as well"
L-EE,mosquitoes are part of the food web is because they get eaten by spiders dragon flies and more they are cosumers because they eat plants and obsorb the energy but they get eaten by the animals thet i mentioned
L-EE,not all plants have flowers or seeds ferns and mosses are plants but they produce spores fungi or mushrooms also make spores but they are not plants spores on ferns develop under the leaves they look like brown spots but you will need a microscope to see them each type of fern has spores of a different shape some plants reproduce without seeds or spores in a kind of cloning cutting grafting or bulbs can be used to grow new plants
L-EE,parts of a plantthe blade is broad and flat a stalk attaches the blade to the stem a simple leaf has one bade and a compond leaf has several blades on the same petiole veins in the leave carry food and water from the leaves to the rest of the plant they also make a strong support that give the leaves its shape the veins of a broad leaf form a netlike pattern the veins of narrow leaves are parallel leaves size are also adapted by habitat and maximize photosynthesis
L-EE,photosynthesis occurs when a plant soaks up water through its roots absorbs carbon dioxide co2 through openings in the leaves called stomata and stores energy from sunlight as chemical energy the water travels up the plant's stem through a transport tissue calledxylem the water and co2 spread through the leaves into cells calledthe palisades and the spongy cells the cells are filled with structures called chloroplasts which contain a green pigment called chlorophyll chlorophyll splits the water into molecules of hydrogen and oxygen atoms the sunlight chemical energy is used to create glucose from the hydrogen and carbon dioxide the glucose dissolves into extra water molecules and gives the plant an extra boost of energy that it needs to grow the plant gives off the oxygen atoms as a waste product
L-EE,"photosynthesis starts off with the sun when the sun is not blocked the sunlight goes to plants and gives the plants energy notes plants make carbon dioxide into sugar from sunlight plants use stuff like air h2o carbon dioxide and sunlight to make there own food when plans make there own food and ""eat"" it they release water"
L-EE,photosynthiesis is where a plant turns energy from the sun into glucose for food meanwhile the roots suck up water and take in carbon dioxide andreleases air as a waste product
L-EE,so what i learned is that photosnthesis is light tht comes from the sun and rain water and then it mixes it to gether and then creates this suger but its not the suger thats in coockies its a natrule suger ill post a pickture about it
L-EE,the blade orlamina is the broad flat part of the leaf photosynthesis occurs in the blade which has many green foodmaking cells leaf blades differ from one another in several ways 1 the types of edges 2 the patterns of the veins and 3 the number of blades per leaf the types of edges almost all narrow grasslike leaves and needles leaves have a blade with a smooth edge as do many broadleaf plants particularly those that are native to warm climates the rubber plant a common house plant is a good example of such a plant the leaves of many temperate broadleaf plants have small jagged points called teeth along the blade edge birch and elm trees have such leaves some plants havehydathodes tiny valvelike structures that can release excess water from the leaf the teeth of young leaves on many plants including cottonwood and pin cherry trees bear tiny glads these glands produce liquids that protect the young leaf from planteating insects some temperate broadleaf plants including sassafras trees and certain mulberry and oak trees have lobed leaves the edge of such a leaf looks as if large bites have been taken out of it this lobing helps heat escape from the leaf
L-EE,the food chain of the ants start with ants getting birth then they eat then the chimpanzees eat the ants with their tools like sticks then here comes a big predator called a jaguar then it eats the chimpanzee then here comes the the humans in africa eat the jaguar and leave it on the ground then it decomposes then it goes all over again
L-EE,wait hailey i think you are right but the spores are not only for the wind they are also for the moss to grow let me explain it to you as part of the first plant family to colonize earth the soft beds of mosses that now grace mountain streams and woodlands may have shaped our planet’s history primitive mosses similar to the hundreds of moss species found in appalachia might have triggered two cool periods around 455 million years ago according to a recent study published earlier this year in nature geoscience the study suggests that early mosses clinging to prehistoric rocks sped up the weathering of certain minerals from those rocks the release of these minerals accelerated the pace of carbon sequestration leading to cooler temperatures that paved the way for further plant and animal evolution
L-EE,why do animals mostly die in the winter and where do they go to hibernate if they do survive i learned why they hibernate because it's cold and the weather through outside animals coming hunt for them so they have to hibernate swag so they have to get food and shelter before other animals do a lot of website to find out what happened to animals is google search the web and chrome it was the most places where you can go other animals eat the snow animals to get more energy for the night period every man for himself and animal from self again some animals hibernate some animals migrate
L-EE,wolves don't have alot of predtors as you would think they do because wolves are usally in packs wolves eat most of the following animals elk ox rabbit moose beavers fish musk and many more the predtors of the wolves are bear and mountian lion that's common predtors for the wolves
L-EE,water onearthcycles from the oceans where it evaporates from the surface into the atmosphere forms clouds falls onto the land as rain travels through wetlands rivers lakes and underground then returns to the ocean — collectively known as the hydrologic cycle
L-EE,humans impact water pollution in many waysfor one the endless stream of garbage dumped into the ocean a waterfall of plastic bags cans and water bottles are grinding into the beautiful sea life that surrounds our world this pollution is usually the cause of the millions of sea animals that wash up on our shores necks mouths intestines and lungs entwined with plastic because of this will dolphins become extinct manantee's
L-EE,my question is where does water come from my theory is that water comes from earths core the water then goes through the ground and goes to lakes rivers or oceans new infowater onearthcycles from the oceans where it evaporates from the surface into the atmosphere forms clouds falls onto the land as rain travels through wetlands rivers lakes and underground then returns to the ocean — collectively known as the hydrologic cycle
L-EE,how do humans impact the water we need theyaffectthe quality of rainwater and ofwaterresources both above and below ground and damage natural systems the causes of freshwater pollution are varied and include industrial wastes sewage runoff from farmland cities and factory effluents and the buildup of sediment
L-EE,pollution in the waterthe main sources of water pollution are discharge of untreated raw sewage from households and factories chemicals dumped from factories human littering in rivers oceans lakes and other bodies of water the great pacific garbage patch is one of the main sources of pollution in the water it is known for its many garbage and plastic every day approximately 8 million pieces of plastic pollution find their way into our oceans there may now be around 5 25 trillion macro and microplastic pieces floating in the open ocean weighing up to 269 000 tons in developing countries 70 percent of industrial wastes are dumped untreated into waters polluting the usable water supply polluted water can cause serious diseases some of these waterborne diseases are typhoid cholera paratyphoid fever dysentery jaundice amoebiasis and malaria chemicals in the water also have negative effects on our health pesticides – can damage the nervous system and cause cancer because of the carbonates and organophosphates that they contain each year 1 2 trillion gallons of untreated sewage stormwater and industrial waste are dumped into us water while children make up 10% of the world's population over 40% of the global burden of disease falls on them more than 3 million children under age five die annually from environmental factors “approximately 40% of the lakes in america are too polluted for fishing aquatic life or swimming ” “each year 1 2 trillion gallons of untreated sewage stormwater and industrial waste are dumped into us water ” eighty percent of pollution to the marine environment comes from the land
L-EE,water is essentially everywhere in our world the average human is composed od between 55 and 60% water so what role does water play in our bodies and how much do we actually need to drink to stay healthy water is virtually everywhere from soil moisture and ice caps to cells inside our own bodies depending on the factors like location fat index age and sex the average human is between 5560% water at birth babies are even wetter being 75 water they are swimmingly similar to fish but their water composition drops to 65% by their first birthday so what role does water play in your bodies and how much do we actually need to drink to stay healthy the h20 in our bodies works to cushion and lubricate joints regulate temperature and to nourish the brain and spinal cord water isn’t only in our blood an adult’s brain and heart are almost three quarters full of water that’s roughly equivalent to the amount of moisture in a banana lungs are more closer to an apple at 83% and even seemingly dry human bones are 31% water if we are essentially made of water and surrounded by water why do we still need to drink so much
L-EE,we can see a yellow rose because red blue and green are going to the flower red and green bounce into your eyes but blue absorbs
L-EE,you can see a red rose because red bounces of and goes into your eyes blue and green get absorbed
L-EE,when you see a red flower the red light bounces off the flower in to our eyes and the green blue gets absorbed
L-EE,when you shine a light through a glass prism it ell make a rainbow on the surface it needs to be white light of the colors light wail be to strong and wont split up into the rainbow
L-EE,this is how absorbing and reflecting works the colors that make the object will be reflected and the leftover color will be wasted not used
L-EE,a shadow is mad by an object in front of a light stream the light cant go around and then no light git be hind the objects and its dark
L-EE,a solar eclipse is an eclipse of the sun it occurs when the moon is located between the sun and the earth the moon blocks the sunlight coming to the earth
L-EE,my theory is that light travels in waves i leaned this by doing an ensnarement the end resale was a wave pattern like doping to pebbles in a pond and the reason is like light
L-EE,most glowing things are painted with a layer of fluorescent paint this paint absorbs light and when it is dark the absorbed light would unleash the light that it saved until its empty and has no more light
L-EE,a lunar eclipse is the opiate of a solar eclipse a lunar eclipse is when the earth goes in front of the moon the earth is also opaque but the shadow this time is bigger
L-EE,if light hits a red rose red gets reflected and blue and green get absorbed thats why we see red
L-EE,but with a yellow rose green and red get reflected and blue gets absorbed because red and green make yellow
L-EE,a lunar eclipse is when the moon over laps the sun and blackens out the sky so no one ca see the sun and the sun and the moon turn black
L-EE,what is absorbing my understanding is that when white light hits a red object all the colors that make white red green and blue blue and green are reflected and red is absorbed
L-EE,what is reflecting my understanding is like before we have a red dress when white light hits the red dress blue and green are reflected and red is absorbed why i think there reflected is because its not the same color
L-EE,this is how we can see a red rose white light hits the rose red is reflected and blue and green are absorbed and the rose papers upside down and back wards but your brain turns it to the right way
L-EE,new information a lunar eclipse is when the earth is between the sun and the moon since the earth is in front of the moon it castes a shadow over the moon making it in total darkness
L-EE,a solar eclipse is when the moon casts a show over the earth and its just like a lunar eclipse precept what i just told you
L-EE,the way we see a red rose is that white light contains the primary coleus of light red blue and green what happens is that the red light hitting a red rose the red light bounces off and into our eyes and the other colors get absorbed
L-EE,with a yellow ors its pretty much the same thing but 2 colors don't get absorbed they mix and bounce off as one ray
L-EE,the northern lights are cosed by partials from the sun the particles are so small you couldn't see them how they acute is when the particles hit highest thing of the earths atmosphere they electrify the air making it glow
L-EE,convex mirrors are used in stores they let you see around corners and stuff ltd shaped like a ball with the top cut off the way it lets you see around corners is it does everything but catch light so it bounces off as an angle
L-EE,all we see is light the way i can prove it is that the same color light bounces off things that are supposed to be that color then the color bounces into your eye three primary colors are in white light so if you mix those you'll get any color
L-EE,i just learned that a lunar eclipse occurs when the earth is between the sun and the moon the earth is in front of the moon and behind the sun which makes a huge shadow over the moon
L-EE,this is how rainbows are made with rain the sky is still moist and there are drops in the air which can be used like prisms so if the left over raindrops can be used like prisms then the light can shine through it to make a rainbow
L-EE,i think light travels in a straight line because the shadows prove that they travel straight or else the shadows would be wobbly
L-EE,if you look at a red rose in magenta light the magenta light red and blue hits the red surface the color red is reflected but the color blue is absorbed then the rose appears red
L-EE,my understanding about a lunar eclipse is that when the earth is between the sun and the moon the sun casts a shadow over the moon called a lunar eclipse
L-EE,my theory's that light travels in a wave line because if you drive behind a bus you'll see heat that looks wave
L-EE,shadows a shadow is an inexact reflection of your body that shows on a very sunny day when you are outside you see your shadow when you happen to be outside and you look down at the ground also your shadow touches you wherever you touch the ground
L-EE,we see a red rose when there is a flashlight or another light source that will shine on the rose and absorb the green and blue light and reflect the red light into our eyes
L-EE,and how we see a yellow rose is that it is the same but the red and green light are reflected and blue is absorbed
L-EE,how do you make a rainbow with rain the sky is still wet with raindrops and the sunlight shines through the drops and a rainbow forms in the sky make a rainbow with a prism exactly the same way
L-EE,the northern lights are also called the aurora borealis and they are lights in the sky that are mixtures of colors that are seen only in the northern parts of the world and that is why they are called the northern lights
L-EE,why are northern lights different colors each gas in earths atmosphere glows with its own color when it becomes charged with electricity oxygen gives off an eerie green glow nitrogen glows red and neon gas turns pink
L-EE,i also learned that a solar eclipse happens when the moon blocks the sun which makes a large shadow over the earth that is why when your outside and the sun dispersals its just a large shadow
L-EE,i also learned that a lunar eclipse is caused when the earth is between the sun and the moon
L-EE,also if your looking at a yellow flower the blue light would be absorbed allowing the two other colors to both making yellow would bounce of into your two sensitive cone to those colors
L-EE,the northern lights are caused by the sun bombarding the earth with tiny partials of electricity when these partials hit the highest part of the hates atmosphere it electrolysis the air and makes it glow
L-EE,to make a rainbow with rain it in voles moisture in the air and since there is moisture in the air the moistness acts like a prism
L-EE,a lunar eclipse is when the earth is right in between the sun and the moon winch casts a shadow over the moon making the moon total darkness
L-EE,solar panels are used for sucking up sunlight and using the sunlight for something such as a solar powered windmill that works by the sunlight getting sucked into a solar panel and the light moves the windmill
L-EE,a red rose looks red because the red light in the white light reflects of the rose and in to your eyes the blue and green light gets absorbed
L-EE,a yellow flower looks yellow because the red and the green light in the white light are reflexed in to you eyes and the blue is absorbed
L-EE,a lunar eclipse is when the earth is between the sun and the moon and it casts a shadow over the moon
L-EE,inside luminous objects or animals some form of energy changes into light energy this energy usually changes into chemical electrical thermal and nuclear energy the process of giving off light is called incandescence
L-EE,you have three eye cones in your eyes one is sensitive to red one is sensitive to blue and one is sensitive to green so when you see something blue the blue eye cone starts getting sensitive so you can see the color
L-EE,when we look at a red rose the red eye cone color bounces off into our eye and the other two colors absorb so you see the color of the rose
L-EE,my understanding of light the colors of light light is made up of many many different colors you cannot see those colors because those colors mixed together to get white light white light is transparent so you cant see it
L-EE,when it rains the raindrops split the light so you can see 7 discolored orange yellow green blue indigo and violet that make a rainbow
L-EE,that is why when you look at a yellow thing the red and green light bounce of it but blue gets absorbs mixes and comes to your eye as yellow
L-EE,there are also things called solar panels they are made to catch light the light that they catch is used to make electricity solar panels probably have a lot of tubes connected
L-EE,a shadow is the darkness on the other side of an opaque object whits is nontransparent when a light shines on an opaque object the light cant get around it so there is only darkness whits is a shadow
L-EE,a lunate eclipse is when the art goes between the moon and the sun the sun hits the eart and the eart casts a shadow on the moon winch give the moon total darkness
L-EE,a solar eclipse is when the moon is in the middle and blocks the light from hitting the earth making that side dark
L-EE,people make shadows by just standing in the light because light travels in a titrate line or waveland it hits a portion or thing and the blocks the light so it cant reach the ground and thee for makes an outline of that object
L-EE,shadow my theory is that all the light gets around but it doesn't get past your body so it is dark and the shape of your body
L-EE,a solar eclipse it happens when the moon is located between the sun and the earth and the moon blocks the sunlight
L-EE,solar energy solar panels are dark so they attract heat and the sun is turned into thermal energy in the panels there are little tubes and the water gets warmer the warm water is pumped into a storage tank and it heats the house
L-EE,the northern lights are red pink ghostly greens the northern lights happen when the sun bombards earth with particles that are electric when they hit the highest part of the earths atmosphere they electrify the air and it glows
L-EE,a lunar eclipse is when the earth is between the moon and the sun in which the sun shines on earth and makes a shadow on the moon which makes the moon in total darkness
L-EE,if a white light is shined on a red flower the green and blue is absorbed and the red is reflected that is how we see a red flower
L-EE,but that doesn't explain why sometimes there are rainbows after rain storms or when it rains the answer to this is raindrops act as prisms but when i did a experiment at my house i filled a glass of water and turned out the lights i didn't see even a tiny outline of a rainbow
L-EE,there are two types of eclipses the rift one is called a solar eclipse its when the moon goes in front of the earth and behind the sun which casts a shadow upon earth as i said before an opaque object like the moon and the sun is the light source it makes a shadow
L-EE,this is how we see a yellow rose the white light hits the rose green and red are reflected and blue is absorbed why green and red are reflected incited of just one color is because yellow is a secondary color and are brain sees the rose upside down and backwards
L-EE,diffused reflection is when a ray of light comes and hits something like bumpy tinfoil the light comes and egos everywhere because it has more than one thing to bounce off of it it egos up down right left because when its bumpy it goes like that because of different bumps
L-EE,here is how solar panels work dull dark surfaces do not reflect much light the dark surfaces absorb the suns rays and turn the rays into thermal energy the thermal energy is turned into heated water and then it is pumped into a storage tank and goes out through a fan that means that black attracts heat
L-EE,this is my picture of a light bulb a light bulb is made out of glass and artificial light the glass is to couscous the light to the spot you would like it and the artificial light is from the energy in the air that comes from your wall when you plug in a light a computer or anything that has a plug the energy goad through whores that travel over our hes and under us these 2 things are all plugd into a wall
L-EE,the picture i drew was making a rainbow out of a prism this picture is with two prisms this is how it works if you shine a light on a prism a rainbow will appear but if you put another prism in front of the other prism the light will turn white again this is how to make white light through a viable spectrum
L-EE,also you can see a green object because white light shines on that object white light has red orange yellow green blue indigo and violet in it and the object absorbs all the colors except green which is reflected into the eyes of the person that is looking at the object
L-EE,the law of reflection on a flat mirror is when the incident ray goes on the mirror and makes the angle of incidence there is an invisible line between the angle and ray of incidence and the angle and ray of reflection the reflection ray is the reflection of the incident ray
L-EE,the northern lights are ribbons of red pink and ghostly green lights that dance and shimmer for hours across the sky they occur when the sun bombards earth with tiny particles of electricity too small for us to see when these particles hit the highest part of the earths atmosphere they electrify the air and make it glow
L-EE,my theory's that light travels in waves because when we did an experiment with progesterone and a tennis ball hanging from the vealing on a piece of string and when we shone light on it the tennis balls shader was clear but the strings shadow had some light on it
L-EE,dull dark surfaces do not reflect much light so they are perfect for solar panels instead they absorb the suns rays and turn them into thermal energy this means that on a roof there are dark hoses of water the water heats up because the hoses are absorbing the suns rays and they are isolated the heated water is pumped into a storage tank where it used to heat the house
L-EE,when looking at a red rose you need light right you do so when your looking at that objetc the light shines on it and since it is red it refletcs the red light off the objetc and all the other colors get absorbed its the same with any other color including yellow green etc
L-EE,shadow darkness made when light shines on an opaque nontransparent object if the light shines on an opaque object it is imposable for the shadow to be on the same side the light is coming from unless there is a mirror if there is no light there isn't a shadow so there is a shadow where the light cant reach
L-EE,when we had the class debate i was the only student who was not on a side because my theory was light travels in waves but the waves go in a strait line and the debate was between straight line and waves and now we have lots of ideas from the debate and we don't know which one is right now is light travels sort of like this light travels in a straight line but appears to be wavy or light travels in waves but appears to be straight that means that light has aspects of both straight lines and waves it depends on how you look at it or what your experiment is trying to prove in our class we have seen experiments that prove both that light travels in straight lines box with powder and shadow experiments and wavy lines thomas young experiment
L-EE,the way you see what color everything is is because of light hitting your eye when their is a green leaf the light hits it before it splits up it is called white light the green leaf absorbs the other colors but the green keeps going because it is the same color the green light keeps going until it goes into your eye then the brain identifies what color and it is
L-EE,cones tire easily if you were looking at a green apple the cone that responds to green light gets tired so when you look at a piece of white paper the green cone would be to tired but the red and blue wouldn't and red and blue make purple and purple is the opposite of green on the color wheel
L-EE,this is why the colors of the rainbow are in the same order as you know there are seven colors that we know of they all travel at a the same wave frequency and they get mixed but when light goes through something like rain the frequency of the light waves get differed for some reason red always has the longest frequency and purple has the shortest
L-EE,a thing that involves color and is very magnificent is the northern lights this happens because of magnetic disturbances of the sun the sun sends out particles of electricity that are microscopic the earths atmosphere makes the air electrified and then it glow the colors that glow are red pink and green
L-EE,1 how do you think light travels my theory is that since light doesn't travel on anything it has to make enough energy to keep going my theory is that there are little wavelets of energy that travel inside bigger straight lines like a flashlight that also explains why light is hot
